NAME	REFERID	HASH	LENGTH	CRC	ENCLOSE	DEPEND
art/char/1040	BTO	5d511dce0727bae363c9a3823d36ea4a	2080715	3168572461	0	WUP+MZY
art/char/1041	XMS	b5f2124316482607120bfd2adb0aba83	2365052	2484807237	0	WUP+MZY
art/char/1042	DKE	668fb89ca1e55b866713538b88208320	2418875	3996861362	0	WUP+MZY
art/char/1043	LNU	1c0dbb445429a230048a25c4597cfbbf	2515245	2009378756	0	WUP+MZY
art/char/1044	NYF	18e62e9a54fb5a684f25bd26df094518	2261287	2030573763	0	FSO+WUP+MZY
art/char/1045	ZNJ	4b2a63be50f3ca3d00b8825ca06f2ee7	2649449	2363103228	0	WUP+MZY
art/char/1046	CDH	a0ca22041e52b62658408722473888f5	2829025	3106220402	0	WUP+MZY
art/char/1047	CFB	64e228a2f099d5d0dc8ac8eb08c407c3	2419713	2762397388	0	FSO+WUP+MZY
art/char/1048	VNE	cbd61f8f9987a63a7602ed7bfc65e215	2421513	1238088171	0	WUP+MZY
art/char/1049	CDO	2cbc9d9b4709777465b13770f6b9fb4a	2628473	2809158955	0	WUP+MZY
art/char/1050	QPL	8ee3c9bdf592e7e122581bcfa5782954	3117200	1521120499	0	WUP+MZY
art/char/1051	MTZ	89407ba3d5d32a55edf93cd731ecdf4c	2930592	324158799	0	WUP+MZY
art/char/1052	JZP	2f695d682549cf5d65e3f00fd59f072d	3359751	471795322	0	RXS+WUP+MZY
art/char/1053	KPV	afdb6347f98c155017e2c38b0268a12d	2565060	3908535095	0	WUP+MZY
art/char/1054	KTS	928b9f3ae8af675da76ad87ded3690ae	2534475	1881067227	0	WUP+MZY
art/char/1055	PCO	124da8f2d5f50272f32538faffb92149	1907948	3546595876	0	WUP+MZY
art/char/1056	IKQ	d4178be698c6efe2c0d4ddd0cb5b75b6	2795258	2752963420	0	WUP+MZY
art/char/1057	THI	883e36b84f7b90b32fb38f186afa70b8	2068060	1281799812	0	WUP+MZY
art/char/1058	VZN	ec3dff3de892d4959a3ed4693ec58da3	3180144	3238051195	0	WUP+MZY
art/char/1059	WKR	51b85a0587615b26e4509f2bdc100aaa	2139506	3387647458	0	WUP+MZY
art/char/1060	JAW	1b29a244ef561f38ac0e100c1caea380	2198359	3295518139	0	WUP+MZY+TBK
art/char/1061	ANK	5f7fac03440096a1d287eeaa24e8a8d3	2586892	1623003780	0	UZD+WUP+MZY
art/char/1062	LNY	e0c29c3234e231cb3c0c96cb14c3ee90	2731156	3879926848	0	WUP+MZY
art/char/1063	GQR	834a1558217f8d93ac7c2ffa9282dc2b	2703841	682466045	0	WUP+MZY
art/char/1064	KZR	e4c2a01eb4d1260b160f749c2d314837	2392772	1249501681	0	WUP+MZY
art/char/1065	YNT	6308c53b38fa0f4aa2e763a49935b3e0	2759808	4069542944	0	WUP+MZY
art/char/1066	NID	0b2f1d792abb603c678570488d15231d	2346553	1219066497	0	WUP+MZY
art/char/1067	UDL	a0c5374707a34c7266e2991b96d3ef84	2527652	2442600449	0	WUP+MZY
art/char/1068	STS	cb17cb7fde50def68a95e144c123a681	2126994	3211471736	0	KPV+WUP+MZY
art/char/1069	FUK	67d20ebb169f5560ddd057a02b0e85f0	1949901	1460420682	0	WUP+MZY
art/char/1070	BXB	cb03aa9b644865cf70a4d29f12c0423a	2413312	900013432	0	WUP+MZY
art/char/1071	CJT	09576e9116ebd9ac8a2c269670a2ba3f	2747993	191165051	0	WUP+MZY
art/char/1072	OEX	8498a696aeac642b475adc1fb9e680be	2391113	1272392812	0	VNE+WUP+MZY
art/char/1073	AGN	41cdcc7e0e8e1ae92e237b3439270b5a	3571567	336467756	0	WUP+MZY
art/char/1074	LVM	8441257587422781b13ab475871a8557	2959835	2105162901	0	FFM+WUP+MZY
art/char/1075	ASA	157722195e9eec0a093de849e76d1051	3110766	1467257302	0	WUP+MZY
art/char/1076	PRA	3dbee29679e1b91388c149f58bc96d76	3232129	1337220717	0	FFM+WUP+MZY
art/char/1077	FTO	d7bfebeba97f27be41625cbce24632f5	2116810	2467567127	0	WUP+MZY
art/char/1078	CFX	711432b7d6f04eb963e42d5f08b43122	2397659	624109117	0	MWT+WUP+MZY
art/char/1079	AMH	998cb6a46d1ffc710d25f5403c207704	2109029	1477475437	0	WUP+MZY
art/char/1080	KVK	ad33c23fd98b66610ecaaef4c9a6d33e	3121710	4017266268	0	FSO+WUP+MZY
art/char/1081	ERI	50c9ee48fc9941a1b6e722449337587a	2609708	2947592193	0	WUP+MZY
art/char/1082	POA	88469bb7ed4c25a3bec4cd4d147f7778	2638362	1290768252	0	WUP+MZY
art/char/1083	BUK	198e81f31189ccffeff1ed13dd25963f	1684019	4148099227	0	WUP+MZY
art/char/1084	NMR	192d1a7c8921012f9e1ae4bb1256d75d	2694057	2825418697	0	WUP+MZY
art/char/1085	HZN	6e57d048369abce91d401a6c9cc2ac5d	3046773	480981720	0	MWT+CFX+WUP+MZY
art/char/1086	YWV	b7cb9ef1e5944530070654747e23108a	2734282	265176615	0	WUP+MZY
art/char/1087	NVJ	9ea91d47e1efe25ed3c7660a4c7b0227	1839302	592587725	0	WUP+MZY
art/char/1088	GIW	08439979599d5dad55101022d2dcf2f8	2828275	3383470507	0	WUP+MZY
art/char/1089	ETC	1869d9fcd40b0ee0c5a6e5af7e869e0e	2867786	3539928469	0	KVK+WUP+MZY
art/char/1090	SSB	f0b25a5f63fc01ddd89715f8d2310bcc	3120972	1998880230	0	WUP+TEE+MZY
art/char/1091	KTV	0ae6a904312b74a163351034b0feb051	2430333	1360520976	0	WUP+MZY
art/char/1092	VXP	2a574e3a377ed9b7ece8f12d1478e13e	2125864	2703733517	0	WUP+MZY
art/char/1093	YLB	cea9e973023f370e5bff22cc8a89994d	2579950	2368467456	0	PRA+FFM+WUP+MZY
art/char/1094	BDK	93604e56d6c2400c1b425918ea82b9b1	1589846	3575629303	0	WVT+WUP+MZY
art/char/1095	QPM	fc5a6f8afaeee9e37b1f06c64475d6cb	2152517	1842588565	0	WUP+MZY
art/char/1096	CSU	e2c3045775460a8e9a7b774962041925	2469263	1923719444	0	AGN+WUP+MZY
art/char/1097	ERU	e27ada1be4fca5a4bf5378be262504b5	2336491	2546045489	0	WUP+MZY
art/char/1098	PHV	48557c3df4dd650e8ee915b400c9aca8	2337563	1452143800	0	SSB+WUP+MZY
art/char/1099	JSJ	386b706195fa76b054aa6c837394b328	1878184	468901864	0	WUP+MZY
art/char/1100	AFZ	b5d981d8ad1bf3af1160a624b0548f14	2112703	3616704321	0	WUP+MZY
art/char/1101	FRX	095a4c2b0d41b77a79900197f187f60c	2307739	3165962097	0	ZLW+AGN+WUP+MZY
art/char/1102	AVF	67341cad00389ae3428972506bc24db5	2057704	1401057150	0	WUP+MZY
art/char/11023	MJR	08342b4c929cbb8be2a4737e239a9108	2613906	2318200329	0	WUP+MZY
art/char/1103	EUJ	e67c0b3432939fd6d1aa3a514b2f6bbc	1903958	330577641	0	WUP+MZY
art/char/1104	FFM	4f5b8cb2dc7d261e0b80384ceb2e2473	2491284	3844204919	0	WUP+MZY
art/char/1105	HZG	84918906062ac57fa21924cf580e01d6	2482758	1657943333	0	WUP+MZY
art/char/1106	XBY	533273cad62fa17be8e907e0bd08fd78	2153256	752784853	0	WUP+MZY
art/char/1107	AKE	4a3375cd15d3562d8b2d2ce9bd019413	3126391	3390171894	0	FFM+WUP+MZY
art/char/1108	PXX	c02ff213d2aa860ed4028a1ee924f44b	3086778	3376170768	0	XBY+WUP+MZY
art/char/11084	NHQ	bdb42e2c7c34b754aaa2d7bdba7e991f	2521688	4047938236	0	WUP+MZY
art/char/1109	XQL	decda2ae34c4fa3019a91e8145faa8e8	3899753	1280642406	0	XBY+GEE+WUP+MZY
art/char/1110	NRU	75ed4f04b3712589716d05e0d1e4a3a7	2498635	3341045027	0	KPV+XBY+GEE+WUP+MZY
art/char/1111	GEE	bb6aa3846cd25029ee8f0d2f7c3d044a	3121321	2077756702	0	XBY+WUP+MZY
art/char/1112	OGS	44a831780b41496ed83dc8b416a22abc	5083319	3003884870	0	XBY+WUP+MZY
art/char/1113	NFC	2a490d8f6c9dacdc8a98cd4a7bde578b	2780721	3518741525	0	AGN+WUP+MZY
art/char/1114	MXF	3454a394650458dac3975f012546b51a	4350844	3015672322	0	AGN+WUP+MZY
art/char/1115	FYB	d2588eecc03eb651541a4d6657b7412e	4114224	2878626202	0	XBY+NBB+WUP+MZY
art/char/1116	NBB	d566ad66f22758ea2fd85212e338a008	3880880	2101182617	0	XBY+WUP+MZY
art/char/1120	RJD	b16a70dd7a5efbefb44868869e0e6a00	4165125	3273876111	0	WUP+MZY
art/char/1121	UST	b857507260cc2a0c7e3b7c18afccc025	3224387	2086421762	0	KPV+AGN+FRX+WUP+MZY
art/char/1122	UYV	21259ef44d40d296538f737a64387a3a	2678999	3933797964	0	AGN+WUP+MZY
art/char/1123	JTJ	30a938e4a402fa5eb864694fe434ece0	2560675	1803556967	0	AGN+WUP+MZY
art/char/1124	KLK	d22e14215f9f0d18820f02d6fc695b73	3670081	178072303	0	AGN+WUP+MZY
art/char/1125	JAS	91dd3c7aa47b61aa8224d94cadef0a26	4345571	2268151898	0	WUP+MZY
art/char/1126	KHO	ae41fa5ae98f69fbda60463006c0f40a	5232778	2426420374	0	WUP+MZY
art/char/1127	ANI	ea2b93812e4fa9e1558c692d4184dfe0	3440091	1470844588	0	AGN+WUP+MZY
art/char/1128	SPN	2e12675e58222d97de5b2a8cfaad56ab	3876365	3089924329	0	WUP+MZY
art/char/1129	RSF	8ccf87d4e3c4da2fa523c629c7c8687d	2954454	3224811971	0	WUP+MZY
art/char/1130	AWM	cb615b321b034930cf8b14d7d20244f3	3018711	2860714154	0	WUP+MZY
art/char/1131	PSW	51a903a5c287ec4b77c04a5fc7e4f20c	3051963	222135785	0	WUP+MZY
art/char/1132	MKQ	cb43ec63543d36d1e79269f8fd382b12	3417134	2055349410	0	XBY+GEE+WUP+MZY
art/char/1133	ETE	b7bef335c516c4ab330bb07713f28f5e	3759110	3316999915	0	WUP+MZY
art/char/1134	OER	532d0e5c53fe4dc62fa39a9e3fb87912	4169139	3112385149	0	WUP+MZY
art/char/1135	BNJ	60d108fe640f251a68bbd03b0e167dd8	3343003	3754290938	0	XBY+GEE+WUP+MZY
art/char/1136	EGZ	93d4b22680b03b732437394c6189384f	4406275	2581271078	0	KPV+XBY+GEE+WUP+MZY
art/char/1137	BHJ	2ae9f807e3ba1aa74c14e6fc6ccdc889	5800742	3565182924	0	KPV+XBY+EGZ+WUP+MZY
art/char/1138	OWG	8236c895968325d8758c2f4b2e14d03f	5993412	4194499350	0	KPV+XBY+EGZ+BHJ+WUP+MZY
art/char/1139	SVC	c38629db65f90c9988e46ed3ecaf38ef	3601976	3094564051	0	QPM+SST+WUP+MZY
art/char/1140	SST	2e261fafb65190015c8da08e576b0cff	3139699	2802986051	0	QPM+WUP+MZY
art/char/1141	VFD	b4419dc5eb04f469ccad062bebf31d4f	3155954	1172643257	0	QPM+WUP+MZY
art/char/1143	BVX	79d9985a0c4e75b908449a38703e78b7	2997495	3922706975	0	QPM+SST+WUP+MZY
art/char/1144	WZE	43f39a15856fb9b29a32f9cb858fa9d5	3257469	1822855009	0	QPM+WUP+MZY
art/char/18015	ERN	e0e81b4b4277e2489f7e768a72ede8ba	428768	1419577160	0	SBR+WUP
art/char/18018	GFA	31f9093b08b7ecfc121058dc583c689e	460284	3538287270	0	TPF+WUP+MZY
art/char/18028	HYF	9ddcbc133a56b99c56868c56c6370a9d	488681	4238292351	0	WUP+MZY
art/char/8001	XLO	c4d84f3911d3254a0cedf736ea7978bd	2264059	3600870113	0	LNU+WUP+MZY
art/char/8002	FCS	356fdcc203fa81b603bf14d8f0d7af7d	798519	890928188	0	MZY
art/char/8003	CXW	be5cc564a4523d886f4ff62379b896a3	1829224	3301712028	0	MZY
art/char/8004	RRZ	66a2f086932d2134b003d7cd9496779c	2922215	135529217	0	MZY
art/char/8005	NLX	17247f243b70e44767480fef9f1453d0	2579594	3219999154	0	NAX+WUP+MZY
art/char/8006	XIX	1a235707e209fbdd27e29ca5033a3553	1638787	1222508438	0	MFY+WUP+MZY
art/char/8007	QMF	0b70c61b70126ebef51951b9fb3b7f84	2945331	4046919834	0	CCK+WUP+MZY
art/char/8008	KQU	6112a6bec732cd9562a41e12834ddb06	2987793	2786585832	0	WUP+MZY
art/char/8009	PUO	7191637ac0c8a8505cd15b855aa94133	2095932	2308351909	0	UBX+WUP+MZY
art/char/8010	IKD	33ac028eb35751a4c528cad3e81fa3c8	2697457	2964114112	0	MZY
art/char/8011	ODD	cc3cf37794ca0db91f579c824bb3dc12	3045858	2871379901	0	WUP+MZY
art/char/8012	KHV	7bdbe0f4a2dd1e8dcdfe466cf125e59b	4012703	2863118972	0	WUP+MZY
art/char/8014	ZKG	5e9a37b84c87a01397e2031469d9d5b6	3349921	3177018697	0	MWT+CFX+WUP+MZY
art/char/8015	JXO	f4ed981a0084cf7d6b41c7ee73674f01	3833451	2471897656	0	NAX+MWT+WUP+MZY
art/char/8016	WTU	f81bfe711e8d4db2a62ed867c5564b7d	4367378	2766243259	0	ZTQ+WUP+MZY
art/char/8019	TST	1e8d1a0744b8f30d1d9f454d37701bb5	4208612	1820476832	0	NAX+KPV+XBY+GEE+WUP+MZY
art/char/8020	REY	af661a4080f740d72696075204b3c192	4479842	2734876685	0	XBY+FYB+NBB+WUP+MZY
art/char/8021	PPY	00b4b3d857b199e1c6c3f4bf882a1c3b	2796817	2537282414	0	CJB
art/char/8022	LCQ	76dc35f0f47ba489223a2dded62f53cf	2042024	1303945377	0	MZY
art/char/8023	WAO	87e23f72af9491d94149bf27d1a90d4c	3183190	2512323714	0	MZY
art/char/8024	TUJ	8fd6470cf92d7cfa900182e96b9a1b29	2692866	3693837527	0	AKN+WUP+MZY
art/char/8027	ETB	6191c57b7e08daa5718cf1b17d786cbe	4361999	1022958926	0	WUP+MZY
art/char/8028	OPY	8f136518c976566c792974cc6cff4083	3569962	1378208117	0	LMJ+WUP+MZY
art/char/8029	IOU	98d70a0b15fe680f87c9e3575aa97b50	3034805	1707978264	0	YWV+WUP+MZY
art/char/8030	QXP	8131c8e741671d2ab05c3213a26a1d24	1714853	1132408553	0	MZY
art/char/8031	CJB	92d28f8649b4d533cfff9efc7c0af9ac	7798120	1903733786	0	XBY+WUP+MZY
art/char/8032	CWV	82c97e9afccdde238881f74ac7c99222	3364214	3959478714	0	KPV+XBY+GEE+EGZ+WUP+MZY
art/char/8033	ITZ	1ef2d96b9d8db80d2d24ead707af225c	1611554	3876293055	0	MZY
art/char/8035	KEC	c20fc3b209ccbe58686c826177738431	2808725	442455401	0	OER+WUP+MZY
art/char/8036	IKU	0702348ed6fec090d8a3a3934698bb26	3117308	3112990945	0	SSB+WUP+MZY
art/char/8037	OYW	361d08bceb9964acd2bf7b898170de5a	2443957	1594211306	0	JTJ+WUP+MZY
art/char/a1002	OEU	f2cc196601ad59cb0f2c1fcc7a2744be	1890943	3328489613	0	MYY+WUP+MZY
art/char/a1006	XGF	e23fa5f8101d252f1480b24b389f7984	3265802	212903969	0	CUJ+WUP+MZY
art/char/a1007	SBR	67169750ae70b622486f626c585bd9b6	3793092	1590284085	0	WUP+MZY
art/char/a1008	GBA	d87bb51bdddf20141a9bd4512be0215b	3535548	939852504	0	WUP+MZY
art/char/a1009	VXC	b19d5718e4fde9e4bd4eda3c95a1b43f	2638255	3266065368	0	LEM+WUP+MZY
art/char/a1010	EKV	79d34adc7143e437d270664e99769fcb	3247268	76685466	0	ASZ+WUP+MZY
art/char/a1011	TPF	7f20052f55286582e4b1cc1da92cf5dc	3093729	1128514298	0	WUP+MZY
art/char/a1012	WXX	f1382e406deea74145f85811537e3ce9	2840197	821120111	0	WUP+MZY
art/char/a1014	EPS	3b14d2ae28d335ebe4834bed6a373314	2459546	2946408115	0	WUP+TEE+MZY
art/char/a1019	UZD	97c8d55ec3f656bc2b2f0fea3dfe9511	3597995	1657813533	0	WUP+MZY
art/char/a1027	URP	49ad70d48472f5bc60bf94093c2bcf0c	2627837	2471567240	0	WUP+MZY
art/char/a1033	FOB	b12ab782308ec0a55dfb512bfd3bea42	2747632	3785572719	0	WUP+MZY
art/char/a1034	IKG	d40e1a99dcd3158698692a3cb67c595d	2314640	1005654869	0	ZFA+WUP+MZY
art/char/a1056	SVG	6ce9c3772102d687c3da42f1543ec93c	446446	1853627195	0	WUP+MZY
art/char/a1057	DXE	cc966c647fcaa5f17eeac02045a60a52	3257931	1278140827	0	WUP+MZY
art/char/a1058	QUP	1b2d635c538a5922ee35361840944588	4133418	2845145408	0	WUP+MZY
art/char/a1079	KYD	be18d9e320e8409bb4b02412dcc82498	2782245	3286806495	0	WUP+MZY
art/char/common	WUP	8ede0cf7d7c57204cd83bd3f3ca35b21	909975	3836009908	0	TEE+ILB+MZY
art/char_q/common	SVM	0d3a442df1c308d0c8255f597557c37a	1107325	3502354108	0	MZY
art/charcg/1001	ZDI	c95970bb9cbd45169c2727ab6c75d6b6	732851	284209851	0	
art/charcg/1002	PMM	7b28c28b9c44c4c5c28692b83c81d314	1266905	2148895409	0	
art/charcg/1003	INE	ac2c42971847c75023dc5b9adc130aa0	1033207	2471903877	0	
art/charcg/1004	XWF	cc8473ec17030f98d40b90b0757b08ca	633446	2770119758	0	
art/charcg/1005	XCL	243df6a0b048dc08e7464777b86b4ee8	981141	1615415799	0	
art/charcg/1006	ZAV	7680c33600972a46578f03efd47bd612	644618	1846113281	0	
art/charcg/1007	NDV	8666432f09d8a0bb3ffbd5cec79bbf65	1299489	343938517	0	
art/charcg/1008	NLM	40d62680f90812c01fe2fa2de0e0cf18	949072	3289991970	0	
art/charcg/1009	NFD	c00567d17e46e9f721b2a11a3990c3ae	1293989	77439945	0	
art/charcg/1010	AYN	ca0f7ee82d009390ee9730c91c1da97c	1100296	1184953890	0	
art/charcg/1011	IUT	706800af57b9c325babf7d1c34a0e792	957885	564725021	0	
art/charcg/1012	OJP	07cde9afdb5ddef0f6e75a377e1b3dae	816288	3510487742	0	
art/charcg/1013	MGL	e4b15141ba4eda47bf7b767232259557	631781	2563359172	0	
art/charcg/1014	CCA	f31e1a93a3ae9c3b49bb6b32349ada6c	1601551	4102376548	0	
art/charcg/1015	OTM	3b13fa591dcd437c27401d49a1cb6afd	861665	2075364010	0	
art/charcg/1016	PYE	491c29aff1509ae1bc8a672ae8a0d1de	746514	1279407877	0	
art/charcg/1017	QPA	10a5555bee97b334ec233c2e96a16b45	1278886	1318622660	0	
art/charcg/1018	SLR	7df5b8331244eb479896fda83916a71b	922577	3904244916	0	
art/charcg/1019	VTH	25eea82cf1402d204f545b9464c6de3f	893102	2803359068	0	
art/charcg/1020	YOS	3e78fa2d431c185c116c07f35b2fdeed	987045	3808178822	0	
art/charcg/1021	RLG	4c85cb93af38bccf5b1fb710c5c3b7a4	1234196	1382663086	0	
art/charcg/1022	DLI	70b06e4b2f9f948166678ca96d42201c	935646	2218426666	0	
art/charcg/1023	VLS	3e78098ebff23ba386347df524e8bf7d	1095613	1498427629	0	
art/charcg/1024	LHN	54d424b785bd64bce3a9ca4aa973c6e8	1194893	1750310572	0	
art/charcg/1025	DJT	dab4a7fba8ce5918df9040bede89dd31	1270554	1885086405	0	
art/charcg/1026	TXR	4e34bbd5809ac3aaadcbd457db48d59a	673711	1292011490	0	
art/charcg/1027	EYF	40668ec0fac1295106a9ecda81de60c1	1042603	3026011671	0	
art/charcg/1028	DLC	e8ceaea54f283074c80535f996d94d46	1187603	1805694460	0	
art/charcg/1029	AMC	232c06336cc6c06315ece8a6e5f1b7cc	1298285	1832994025	0	
art/charcg/1030	CXJ	31f00166e0389702e611aa8d69711861	1093262	2663577618	0	
art/charcg/1031	KCN	fd4b192a38b4f0cb82c4505769b2e1aa	1242895	3183559859	0	
art/charcg/1032	BVV	620da8f4bc6f9d736ed921aa7c91174f	683676	1573180700	0	
art/charcg/1033	JCF	856ac0ef07240022cf731b6a8b29606b	1056876	203416993	0	
art/charcg/1034	PYC	9052b758061e697dfbcf47c61ef932b9	757254	1613247037	0	
art/charcg/1035	EAQ	16de3b3a53e59f7080297e0fd30425e5	652625	1513568660	0	
art/charcg/1036	KIK	e6aff0308baa1d7615764b39835098af	940895	1944739038	0	
art/charcg/1037	SGQ	03cbcc467b9744c07800562aec9b0cee	947472	1089069563	0	
art/charcg/1038	VAJ	4301b5bbc7f3c48800858f2a0e2a4a2a	723648	354132832	0	
art/charcg/1039	NAP	7cc8603b2a5ef6b45e1fb9414c7dc6ca	876474	1722863675	0	
art/charcg/1040	YVW	40a073ef0f859aa4f4ac2256d8f891ca	993859	2535134632	0	
art/charcg/1041	WXA	021ead4e4277284cc5a350c649361df4	759429	2829585316	0	
art/charcg/1042	HEA	583bb3496028be5cb6fae02a6425c611	882830	2063214286	0	
art/charcg/1043	EGG	029052c648edff422c97a11c3dec4dcf	657532	1849049312	0	
art/charcg/1044	UIZ	051aca38026e832bae9b5e76e8eeda61	1073175	3676461802	0	
art/charcg/1045	COD	42a4f5d4003ea2de11cf1eb30d255729	948297	2015135212	0	
art/charcg/1046	JBH	bf72094a1ff134a866308201303e7e5d	992054	4121422959	0	
art/charcg/1047	OFJ	a59499f49aaed9cf94d62173cdaa9625	878437	2944722729	0	
art/charcg/1048	VPQ	d82fe9a33ee5dad550b79cffda81cdbe	695731	2229253655	0	
art/charcg/1049	NEI	b4b777ee78398d7d9018a8b089dfcbd2	857674	476496840	0	
art/charcg/1050	TDX	3b035033860c5aff1adc52b9ad2abfc9	847143	2395505937	0	
art/charcg/1051	WYP	c607c2f7a90f0c2f45166c1d70aebbff	820319	1075492130	0	
art/charcg/1052	PQZ	2a99d076d0db0991bf7916c9a70cb40a	801927	318642356	0	
art/charcg/1053	RPJ	d0ce5c170d78b58e3365368e74836078	795233	874508523	0	
art/charcg/1054	GRG	906dda984aa4ce8df53e5280be4d2efd	766298	880946769	0	
art/charcg/1055	CHQ	c7b638fcbda2d10b3715d9bf6b06c349	915660	648839060	0	
art/charcg/1056	RWE	fd6cc3087949c5b9cbdcda3c9c9a397d	675901	551593505	0	
art/charcg/1057	JOC	d55793a311caf835c5bf3b46c508ab21	929073	3634970725	0	
art/charcg/1058	ISH	4ee58e3d3a091db6c22f4b45c146f9cf	654900	3898399965	0	
art/charcg/1059	DUZ	f20475f3f32e5058a540986675271379	764700	4181247813	0	
art/charcg/1060	BFU	a2cb63e0b8bc64c2d0abac2d34fafed4	775566	1931648096	0	
art/charcg/1061	OFS	2ffe53f739c97c45ea51346ed53b8d90	656580	2834743816	0	
art/charcg/1062	NCG	6724cc30b7b69640eaeacf230c9af071	840612	1059756442	0	
art/charcg/1063	KZG	97d785f0b9a34081649a30720e0c01cd	660609	878612556	0	
art/charcg/1064	ZXJ	df8dc6da4d347fd63ece6df15c7a9da6	729476	923438559	0	
art/charcg/1065	QVT	d4cddb579613a1159135fe96da3b4b55	763285	1405467288	0	
art/charcg/1066	SZV	a432487e9b408aa3716f05147554fef0	1025667	3926054798	0	
art/charcg/1067	FEF	ff90e34e2c5933a0e38deec22aa0560f	1114569	1401472026	0	
